child_unit,relationship,rel_type,year,parent_unit
CITS1001,REQUIRES,NA,2022,ATAR_APP
CITS1001,REQUIRES,AND,2022,MATH1720
CITS1402,REQUIRES,NA,2022,ATAR_APP
CITS1402,REQUIRES,AND,2022,MATH1720
MATH1011,REQUIRES,NA,2022,ATAR_SPEC
MATH1011,REQUIRES,AND,2022,MATH1722
MATH1012,REQUIRES,NA,2022,ATAR_SPEC
MATH1012,REQUIRES,AND,2022,MATH1722
PHYS1001,REQUIRES,OR,2022,PHYS1030
PHYS1001,REQUIRES,OR,2022,MATH1721
PHYS1001,REQUIRES,NA,2022,ATAR_METH
PHYS1001,REQUIRES,NA,2022,ATAR_PHYS
CITS2200,REQUIRES,AND,2022,CITS1001
CITS2200,REQUIRES,NA,2022,ATAR_METH
CITS2200,REQUIRES,AND,2022,MATH1721
CITS2401,REQUIRES,NA,2022,ATAR_METH
CITS2401,REQUIRES,AND,2022,MATH1721
CITS2211,REQUIRES,NA,2022,ATAR_METH
CITS2211,REQUIRES,AND,2022,MATH1721
STAT2063,REQUIRES,AND,2022,MATH1011
STAT2063,REQUIRES,AND,2022,MATH1012
GENG2000,REQUIRES,OR,2022,GENG1000
GENG2000,REQUIRES,OR,2022,ENSC1003
CITS3002,REQUIRES,AND,2022,CITS2002
CITS3002,REQUIRES,AND,2022,CITS1002
CITS3005,REQUIRES,AND,2022,CITS2200
CITS3005,REQUIRES,AND,2022,CITS2211
CITS3200,REQUIRES,OR,2022,CITS1401
CITS3200,REQUIRES,OR,2022,CITS2002
CITS3200,REQUIRES,OR,2022,CITS2200
CITS3200,REQUIRES,OR,2022,CITS2402
CITS3301,REQUIRES,OR,2022,CITS1001
CITS3403,REQUIRES,OR,2022,CITS1001
CITS3403,REQUIRES,OR,2022,CITS1401
CITS3403,REQUIRES,OR,2022,CITS2002
ELEC3020,REQUIRES,OR,2022,CITS1001
ELEC3020,REQUIRES,OR,2022,CITS2401
GENG3000,REQUIRES,OR,2022,GENG1000
GENG3000,REQUIRES,OR,2022,ENSC1003
GENG3000,REQUIRES,AND,2022,GENG2000
GENG4412,REQUIRES,AND,2022,GENG4411